Red,Green,Blue
0.383,0.308,0.308
0.378,0.311,0.311
0.381,0.314,0.305
0.381,0.314,0.305
0.379,0.31,0.31
0.379,0.31,0.31
0.383,0.313,0.304
0.381,0.31,0.31
0.378,0.315,0.306
0.382,0.309,0.309
0.383,0.308,0.308
0.377,0.311,0.311
0.379,0.311,0.311
0.38,0.31,0.31
0.378,0.316,0.306
0.375,0.312,0.312
0.376,0.312,0.312
0.376,0.312,0.312
0.374,0.319,0.308
0.378,0.311,0.311
0.371,0.315,0.315
0.375,0.318,0.307
0.371,0.315,0.315
0.378,0.311,0.311
0.376,0.312,0.312
0.376,0.312,0.312
0.376,0.312,0.312
0.376,0.312,0.312
0.376,0.312,0.312
0.376,0.312,0.312
0.376,0.312,0.312
0.376,0.312,0.312
0.376,0.312,0.312
0.376,0.312,0.312
0.376,0.312,0.312
0.376,0.312,0.312
0.372,0.319,0.309
0.375,0.312,0.312
0.374,0.313,0.313
0.379,0.311,0.311
0.38,0.315,0.306
0.377,0.316,0.307
0.381,0.314,0.305
0.379,0.31,0.31
0.383,0.313,0.304
0.377,0.316,0.307
0.381,0.31,0.31
0.378,0.315,0.306
0.382,0.309,0.309
0.376,0.312,0.312
0.38,0.315,0.306
0.377,0.311,0.311
0.375,0.317,0.308
0.379,0.311,0.311
0.379,0.311,0.311
0.373,0.314,0.314
0.376,0.317,0.307
0.38,0.31,0.31
0.374,0.313,0.313
0.374,0.313,0.313
0.378,0.316,0.306
0.375,0.312,0.312
0.375,0.312,0.312
0.375,0.312,0.312
0.375,0.312,0.312
0.375,0.312,0.312
0.375,0.312,0.312
0.379,0.316,0.305
0.376,0.312,0.312
0.376,0.312,0.312
0.378,0.311,0.311
0.371,0.315,0.315
0.375,0.318,0.307
0.379,0.31,0.31
0.375,0.318,0.307
0.375,0.318,0.307
0.375,0.318,0.307
0.375,0.318,0.307
0.375,0.318,0.307
0.371,0.315,0.315
0.378,0.311,0.311
0.374,0.319,0.308
0.376,0.312,0.312
0.375,0.312,0.312
0.376,0.317,0.307
0.381,0.314,0.305
0.383,0.308,0.308
0.376,0.312,0.312
0.378,0.315,0.306
0.377,0.316,0.307
0.379,0.31,0.31
0.381,0.31,0.31
0.378,0.315,0.306
0.376,0.312,0.312
0.377,0.311,0.311
0.379,0.311,0.311
0.38,0.31,0.31
0.375,0.312,0.312
0.375,0.312,0.312
0.376,0.312,0.312
0.37,0.315,0.315
0.378,0.311,0.311
0.378,0.311,0.311
0.371,0.315,0.315
0.378,0.311,0.311
0.378,0.311,0.311
0.378,0.311,0.311
0.374,0.319,0.308
0.37,0.315,0.315
0.376,0.312,0.312
0.376,0.312,0.312
0.376,0.312,0.312
0.376,0.312,0.312
0.376,0.312,0.312
0.37,0.315,0.315
0.374,0.319,0.308
0.378,0.311,0.311
0.378,0.311,0.311
0.378,0.311,0.311
0.378,0.311,0.311
0.378,0.311,0.311
0.37,0.315,0.315
0.376,0.312,0.312
0.376,0.312,0.312
0.376,0.312,0.312
0.372,0.319,0.309
0.375,0.312,0.312
0.375,0.312,0.312
0.375,0.312,0.312
0.374,0.313,0.313
0.38,0.31,0.31
0.379,0.311,0.311
0.377,0.311,0.311
0.38,0.315,0.306
0.382,0.309,0.309
0.375,0.312,0.312
0.383,0.313,0.304
0.381,0.31,0.31
0.378,0.315,0.306
0.376,0.312,0.312
0.38,0.315,0.306
0.38,0.315,0.306
0.377,0.311,0.311
0.377,0.311,0.311
0.377,0.311,0.311
0.377,0.311,0.311
0.375,0.317,0.308
0.379,0.311,0.311
0.379,0.311,0.311
0.379,0.311,0.311
0.373,0.314,0.314
0.373,0.314,0.314
0.376,0.317,0.307
0.376,0.317,0.307
0.38,0.31,0.31
0.373,0.314,0.314
0.373,0.314,0.314
0.376,0.317,0.307
0.38,0.31,0.31
0.38,0.31,0.31
0.374,0.313,0.313
0.381,0.309,0.309
0.375,0.312,0.312
0.375,0.312,0.312
0.375,0.312,0.312
0.375,0.312,0.312
0.375,0.312,0.312
0.372,0.319,0.309
0.376,0.312,0.312
0.376,0.312,0.312
0.376,0.312,0.312
0.376,0.312,0.312
0.376,0.312,0.312
0.376,0.312,0.312
0.376,0.312,0.312
0.376,0.312,0.312
0.376,0.312,0.312
0.376,0.312,0.312
0.376,0.312,0.312
0.376,0.312,0.312
0.376,0.312,0.312
0.376,0.312,0.312
0.376,0.312,0.312
0.376,0.312,0.312
0.376,0.312,0.312
0.376,0.312,0.312
0.376,0.312,0.312
0.376,0.312,0.312
0.376,0.312,0.312
0.376,0.312,0.312
0.368,0.316,0.316
0.375,0.312,0.312
0.375,0.312,0.312
0.381,0.309,0.309
0.381,0.309,0.309
0.378,0.316,0.306
0.374,0.313,0.313
0.378,0.316,0.306
0.374,0.313,0.313
0.374,0.313,0.313
0.374,0.313,0.313
0.374,0.313,0.313
0.38,0.31,0.31
0.379,0.311,0.311
0.375,0.317,0.308
0.377,0.311,0.311
0.38,0.315,0.306
0.382,0.309,0.309
0.381,0.31,0.31
0.382,0.309,0.309
0.382,0.309,0.309
0.378,0.315,0.306
0.382,0.309,0.309
0.382,0.309,0.309
0.382,0.309,0.309
0.376,0.312,0.312
0.38,0.315,0.306
0.38,0.315,0.306
0.383,0.308,0.308
0.377,0.311,0.311
0.379,0.311,0.311
0.379,0.311,0.311
0.379,0.311,0.311
0.373,0.314,0.314
0.373,0.314,0.314
0.376,0.317,0.307
0.38,0.31,0.31
0.38,0.31,0.31
0.38,0.31,0.31
0.38,0.31,0.31
0.374,0.313,0.313
0.374,0.313,0.313
0.374,0.313,0.313
0.374,0.313,0.313
0.374,0.313,0.313
0.374,0.313,0.313
0.38,0.31,0.31
0.38,0.31,0.31
0.38,0.31,0.31
0.38,0.31,0.31
0.38,0.31,0.31
0.38,0.31,0.31
0.38,0.31,0.31
0.38,0.31,0.31
0.38,0.31,0.31
0.374,0.313,0.313
0.374,0.313,0.313
0.374,0.313,0.313
0.374,0.313,0.313
0.374,0.313,0.313
0.378,0.316,0.306
0.374,0.313,0.313
0.378,0.316,0.306
0.374,0.313,0.313
0.374,0.313,0.313
0.374,0.313,0.313
0.378,0.316,0.306
0.374,0.313,0.313
0.374,0.313,0.313
0.378,0.316,0.306
0.374,0.313,0.313
0.378,0.316,0.306
0.374,0.313,0.313
0.374,0.313,0.313
0.378,0.316,0.306
0.378,0.316,0.306
0.378,0.316,0.306
0.378,0.316,0.306
0.374,0.313,0.313
0.378,0.316,0.306
0.378,0.316,0.306
0.374,0.313,0.313
0.374,0.313,0.313
0.374,0.313,0.313
0.374,0.313,0.313
0.374,0.313,0.313
0.374,0.313,0.313
0.374,0.313,0.313
0.378,0.316,0.306
0.374,0.313,0.313
0.378,0.316,0.306
0.374,0.313,0.313
0.374,0.313,0.313
0.374,0.313,0.313
0.374,0.313,0.313
0.374,0.313,0.313
0.374,0.313,0.313
0.374,0.313,0.313
0.374,0.313,0.313
0.374,0.313,0.313
0.374,0.313,0.313
0.374,0.313,0.313
0.374,0.313,0.313
0.38,0.31,0.31
0.38,0.31,0.31
0.38,0.31,0.31
0.38,0.31,0.31
0.376,0.317,0.307
0.373,0.314,0.314
0.379,0.311,0.311
0.379,0.311,0.311
0.379,0.311,0.311
0.377,0.311,0.311
0.383,0.308,0.308
0.382,0.309,0.309
0.383,0.308,0.308
0.377,0.311,0.311
0.377,0.311,0.311
0.379,0.311,0.311
0.373,0.314,0.314
0.374,0.313,0.313
0.381,0.309,0.309
0.375,0.312,0.312
0.376,0.312,0.312
0.372,0.319,0.309
0.376,0.312,0.312
0.376,0.312,0.312
0.376,0.312,0.312
0.376,0.312,0.312
0.376,0.312,0.312
0.37,0.315,0.315
0.37,0.315,0.315
0.374,0.319,0.308
0.378,0.311,0.311
0.378,0.311,0.311
0.378,0.311,0.311
0.378,0.311,0.311
0.378,0.311,0.311
0.378,0.311,0.311
0.378,0.311,0.311
0.378,0.311,0.311
0.37,0.315,0.315
0.37,0.315,0.315
0.37,0.315,0.315
0.374,0.319,0.308
0.37,0.315,0.315
0.37,0.315,0.315
0.37,0.315,0.315
0.37,0.315,0.315
0.37,0.315,0.315
0.37,0.315,0.315
0.37,0.315,0.315
0.37,0.315,0.315
0.376,0.312,0.312
0.376,0.312,0.312
0.376,0.312,0.312
0.376,0.312,0.312
0.376,0.312,0.312
0.375,0.312,0.312
0.375,0.312,0.312
0.375,0.312,0.312
0.375,0.312,0.312
0.375,0.312,0.312
0.375,0.312,0.312
0.375,0.312,0.312
0.375,0.312,0.312
0.375,0.312,0.312
0.375,0.312,0.312
0.375,0.312,0.312
0.375,0.312,0.312
0.375,0.312,0.312
0.381,0.309,0.309
0.378,0.316,0.306
0.378,0.316,0.306
0.374,0.313,0.313
0.374,0.313,0.313
0.38,0.31,0.31
0.376,0.317,0.307
0.373,0.314,0.314
0.379,0.311,0.311
0.381,0.314,0.305
0.377,0.311,0.311
0.376,0.312,0.312
0.378,0.315,0.306
0.376,0.312,0.312
0.383,0.308,0.308
0.377,0.311,0.311
0.375,0.317,0.308
0.379,0.311,0.311
0.379,0.311,0.311
0.376,0.317,0.307
0.38,0.31,0.31
0.38,0.31,0.31
0.38,0.31,0.31
0.38,0.31,0.31
0.38,0.31,0.31
0.374,0.313,0.313
0.374,0.313,0.313
0.374,0.313,0.313
0.374,0.313,0.313
0.378,0.316,0.306
0.381,0.309,0.309
0.375,0.312,0.312
0.375,0.312,0.312
0.379,0.316,0.305
0.376,0.312,0.312
0.376,0.312,0.312
0.378,0.311,0.311
0.378,0.311,0.311
0.371,0.315,0.315
0.371,0.315,0.315
0.371,0.315,0.315
0.371,0.315,0.315
0.371,0.315,0.315
0.371,0.315,0.315
0.371,0.315,0.315
0.371,0.315,0.315
0.371,0.315,0.315
0.371,0.315,0.315
0.371,0.315,0.315
0.378,0.311,0.311
0.378,0.311,0.311
0.378,0.311,0.311
0.378,0.311,0.311
0.378,0.311,0.311
0.371,0.315,0.315
0.371,0.315,0.315
0.378,0.311,0.311
0.376,0.312,0.312
0.376,0.312,0.312
0.381,0.309,0.309
0.376,0.317,0.307
0.381,0.314,0.305
0.376,0.312,0.312
0.377,0.311,0.311
0.379,0.311,0.311
0.374,0.313,0.313
0.375,0.312,0.312
0.37,0.315,0.315
0.372,0.314,0.314
0.372,0.314,0.314
0.373,0.313,0.313
0.381,0.31,0.31
0.372,0.314,0.314
0.376,0.318,0.306
0.372,0.314,0.314
0.372,0.314,0.314
0.372,0.314,0.314
0.379,0.31,0.31
0.372,0.314,0.314
0.379,0.31,0.31
0.375,0.318,0.307
0.375,0.318,0.307
0.371,0.315,0.315
0.371,0.315,0.315
0.378,0.311,0.311
0.371,0.315,0.315
0.371,0.315,0.315
0.371,0.315,0.315
0.371,0.315,0.315
0.371,0.315,0.315
0.371,0.315,0.315
0.378,0.311,0.311
0.378,0.311,0.311
0.376,0.312,0.312
0.376,0.312,0.312
0.376,0.312,0.312
0.375,0.312,0.312
0.375,0.312,0.312
0.375,0.312,0.312
0.378,0.316,0.306
0.374,0.313,0.313
0.379,0.311,0.311
0.379,0.31,0.31
0.379,0.31,0.31
0.381,0.31,0.31
0.381,0.31,0.31
0.382,0.309,0.309
0.38,0.315,0.306
0.375,0.317,0.308
0.373,0.314,0.314
0.374,0.313,0.313
0.375,0.312,0.312
0.375,0.312,0.312
0.376,0.312,0.312
0.376,0.312,0.312
0.376,0.312,0.312
0.376,0.312,0.312
0.37,0.315,0.315
0.37,0.315,0.315
0.37,0.315,0.315
0.378,0.311,0.311
0.378,0.311,0.311
0.371,0.315,0.315
0.371,0.315,0.315
0.371,0.315,0.315
0.378,0.311,0.311
0.374,0.319,0.308
0.37,0.315,0.315
0.37,0.315,0.315
0.376,0.312,0.312
0.376,0.312,0.312
0.376,0.312,0.312
0.375,0.312,0.312
0.374,0.313,0.313
0.379,0.311,0.311
0.377,0.311,0.311
0.378,0.315,0.306
0.376,0.312,0.312
0.376,0.312,0.312
